x,y
0.445997,-0.142309
-2.04892,-0.631909
-1.72189,-0.8588
-0.440931,0.0136212
0.0218521,2.09574
-2.03088,0.487926
0.57274,0.674524
1.50228,-1.52794
-0.432952,-0.727898
0.31221,0.25273
-1.79725,1.41734
1.4581,-1.60373
-0.089153,-0.768531
1.19744,-0.372068
-0.694081,0.862586
0.31763,-0.231109
-1.56705,-0.687474
-1.08464,1.65331
0.584105,-1.03903
0.027051,-0.00200277
-1.62459,0.881534
-0.832082,-0.478664
-0.437837,-0.598048
1.95391,-1.00927
-1.56438,-1.332
0.748309,-0.999235
0.974678,-0.293882
0.352024,0.97849
1.55851,0.424024
0.859288,0.17296
1.84645,0.394648
0.0351314,0.528202
0.363557,1.02939
-1.01269,1.60599
1.18427,2.53187
0.190776,-1.62711
-0.809614,-1.03406
0.374135,-1.54769
0.699885,0.922969
0.741164,-0.932807
-0.730436,-0.0888659
1.71018,-0.449705
1.23874,0.898787
-0.453023,-1.65933
-0.745851,-0.614778
1.82259,-0.0334019
-0.721488,-0.0950876
-0.567772,-0.345367
0.435765,0.656517
-0.430514,0.966991
-0.467982,0.446082
0.991258,-0.467301
-0.948136,0.389958
-1.36487,0.929867
0.893448,0.65121
-1.09179,0.357517
-0.504216,-0.595346
-1.41406,0.00273024
0.287418,0.707998
-2.1821,0.607595
-0.20794,-1.5542
-0.68602,-1.08326
0.967467,-0.710597
0.304997,0.440125
-0.573211,0.584792
-1.13355,2.80011
0.0874771,-0.79184
1.01244,-0.621507
-0.575378,0.609533
-0.591524,0.862685
-2.42551,0.101234
-0.0178604,0.233395
0.33535,0.24938
0.278455,-0.224369
-0.671389,1.45503
-0.218297,0.256287
0.625027,0.487784
-0.334505,-1.6229
-0.224293,0.271892
0.995057,0.790766
-1.99565,0.269248
0.0494936,1.12041
-0.554558,0.463892
0.104808,0.131645
-0.1405,-0.584063
-2.2508,0.830573
-1.73464,-1.67511
-0.44086,-0.369044
-0.632394,-0.000314443
-0.258985,0.2478
0.382844,-0.822159
1.34852,0.348861
-0.679832,-1.07022
0.234096,-2.52126
-2.1064,0.814605
-0.525278,-0.124212
-0.268126,-2.39436
1.20535,0.780787
-1.20228,0.997085
-0.480081,0.697451
2.17518,-1.77811
0.373016,-0.534114
-1.20682,0.0544454
0.63768,-0.71286
0.020984,-0.0741678
0.653856,1.08571
1.08584,0.227035
0.516662,-1.00989
1.23089,-0.210564
1.32408,-1.78178
0.0940034,-1.56029
-1.17698,1.41569
-0.535015,1.12895
0.769187,1.34115
0.72437,0.587224
-1.25241,-0.149188
0.778255,-1.68675
-1.13752,0.111289
0.613131,-1.67452
0.314854,0.888437
-0.0288864,-0.884064
-1.65965,0.44764
-0.97562,-0.747264
-1.52398,0.180392
-1.48751,-0.429756
-0.287195,0.356391
6.76137e-05,-0.307058
-1.46852,-0.513369
0.294274,1.41031
0.308239,-0.781196
1.56899,-0.304912
0.0555635,0.317589
1.01368,1.24729
0.0726242,0.585128
-0.134998,-1.26984
-1.12037,-0.154167
-0.362349,-0.151215
-0.527018,-0.117521
-0.414564,-0.752706
0.413653,-2.39358
-1.25132,-1.39138
1.20081,0.410609
-0.250667,-1.5202
-0.729016,-0.27184
-0.516153,-0.328079
-0.390795,0.501381
1.34013,-2.00791
0.386371,-0.168607
0.0839339,-0.0390571
0.66963,0.570756
1.20779,1.67244
1.9576,0.123384
-0.193623,-1.64647
-2.15152,1.3363
-1.798,0.152567
-1.00882,1.44423
0.558994,0.0364592
-1.07758,0.737952
-0.992281,0.638273
-0.764137,1.23483
1.12848,-2.11278
-1.26705,-1.82083
0.746615,0.632074
1.51967,0.540206
-1.70822,1.005
-0.535356,-0.412954
-1.45323,0.67954
-0.641793,-1.99712
0.760465,0.256827
-1.44376,-0.529147
-1.78014,1.042
0.126312,0.41193
0.188327,1.76356
-0.39735,-0.371109
-0.400677,0.351306
-2.0009,-0.19377
-1.42911,1.26879
-0.466298,2.22502
0.674919,-1.62448
-0.118105,-1.25554
1.26368,-0.905195
0.0380682,0.388447
-0.0321201,0.83662
-1.5291,0.108965
1.05384,0.718341
0.0847809,-2.58284
-0.204017,0.263486
0.879167,-0.687991
-1.98503,1.02549
0.552871,0.86428
0.581578,-1.10262
-0.814266,-0.399125
-0.0121963,-1.44036
1.56894,1.44346
0.897978,1.26632
-0.608758,0.0851114
-0.216739,0.976594
-0.825723,0.755114
-1.02086,0.748296
-0.893233,0.211774
0.652934,0.399386
-0.179006,0.584634
0.459439,-1.86849
0.582113,0.0984694
-0.412143,-0.309758
-0.693021,-0.823396
1.3068,-1.13138
-0.269936,0.355899
1.97023,-0.0216222
-0.708978,-0.639709
0.798396,-1.66993
0.91396,0.120837
-0.874534,1.83882
1.69152,0.884204
0.488212,-0.960375
0.19964,-0.183943
0.0207659,0.97019
0.28214,1.17121
-0.647893,0.895484
-0.354975,0.946742
0.658879,-0.0141152
-0.651082,0.190936
0.738694,-1.11562
-0.411715,-0.641731
0.310769,0.302067
-1.15291,-0.489005
0.580071,-0.365589
0.37296,-0.929249
-1.0831,1.28377
-0.211142,-1.19756
-1.74948,-1.37051
0.684845,1.07791
-0.773785,-0.210142
-2.66087,0.19075
-1.49066,-0.436139
1.63493,-1.80601
0.849178,2.3091
-1.8017,0.199109
-0.639843,0.798409
-0.0717777,-0.034302
0.0262862,1.08684
1.20189,0.263332
-0.940463,0.610396
1.22651,0.257877
0.169549,1.13348
0.0819553,-0.148502
-2.20519,0.0161865
0.0745514,0.441524
0.282227,-1.3287
-0.16777,0.976055
-2.31631,1.27295
-0.0210219,0.474859
0.540934,-1.79742
-0.980504,-2.2222
1.15702,-0.400696
0.775074,1.64426
-0.832847,2.45209
-1.64173,0.610373
-0.49092,-1.23827
-1.60336,0.638146
-1.00442,-0.368799
-1.75039,-0.99154
0.930007,-2.13126
-0.965153,0.341883
1.99732,0.628286
-1.92877,-0.183938
-0.631855,-0.905278
-0.538645,1.03697
1.63757,-0.161415
-0.576369,-0.384667
1.18334,1.39428
-0.662631,0.297661
-1.66116,0.647364
-2.10561,-0.419642
0.595724,-0.373737
-0.363688,0.902951
0.703144,-0.0314519
-0.0362421,-0.00174734
0.231278,0.485097
-0.905564,-1.35781
-0.271575,-0.654188
1.87274,0.576326
-0.522421,-1.24078
-0.879157,-0.244874
-0.550885,0.321389
-0.752606,-0.277317
-0.360505,-1.45805
-0.337712,0.0331427
1.77034,0.504451
0.0067118,-1.96621
-0.853891,1.2261
0.305865,-1.14116
1.6364,-0.200287
-0.382971,-0.204068
1.84716,0.0564696
-0.547213,-0.170958
-1.05698,0.572422
-0.749231,1.16708
-0.641653,-0.378348
0.676859,-1.48266
-0.118234,-0.704764
1.63106,0.0554615
0.194932,0.860739
-0.479858,0.318751
0.310321,-0.234309
-0.605127,0.448081
-1.42392,0.563856
-0.114245,-0.273454
-2.63541,-1.3062
0.247653,-0.680442
-0.130586,-0.880582
0.562373,1.32854
0.391021,-0.638059
0.644718,0.728139
1.15911,-0.0559985
1.71643,0.162192
1.24686,-0.145461
0.35019,0.238746
-0.518719,-0.175115
0.0662359,0.0474964
-1.36033,0.330956
0.018677,-0.52337
2.12506,1.10672
-0.390935,-0.881956
1.51403,0.262482
-0.791716,-1.10475
0.475136,-1.07916
1.00121,1.2525
0.714832,0.354713
0.653432,-1.38162
0.678386,1.00819
1.09386,-1.48821
0.442346,0.329542
-1.78076,0.952609
0.201583,-0.637991
0.115226,1.20022
0.381174,0.305901
-0.548603,0.290234
-0.0743381,2.24156
-0.420418,-0.427805
0.189339,1.5888
-2.05054,-0.145205
-0.1519,-1.22425
1.03169,2.7166
0.0455704,-1.95988
0.649191,0.887841
-0.342596,-0.604521
-1.21939,1.19053
0.622985,0.414892
-0.936119,1.03654
-0.397356,0.565989
-0.384346,-1.34969
-0.210742,0.383684
0.721197,-0.0220149
-2.03538,-1.86113
-0.758715,-0.703785
0.193322,-1.93307
0.805584,-0.0552196
-1.17244,0.138883
0.891193,0.332931
1.02814,1.01801
0.698065,-0.242455
1.03752,0.3306
-0.876589,-1.38031
-1.3075,0.122226
-0.790043,1.25223
-0.471136,-0.230716
-1.1302,0.67267
-0.697152,-0.464033
0.39427,0.213906
1.61912,0.972275
-0.337422,-0.292033
-0.602733,-0.376355
-2.00794,0.138685
0.11904,-1.24593
0.793491,1.87879
-0.123683,0.687312
0.857828,2.34557
-0.309902,0.642753
-0.972406,0.777656
1.49267,-0.965868
0.377158,-0.190785
0.202117,1.31398
-0.45958,0.265116
-0.76614,1.03261
-0.0562189,0.143365
-0.141312,-0.895166
-0.554784,-1.01133
1.47723,0.768598
0.911209,-0.259711
2.9709,0.0620736
-2.19714,-1.21315
0.692608,-1.02595
0.327358,0.137584
0.716923,0.409397
-0.472795,-0.433315
-1.24775,-0.782042
-0.874582,-1.40916
0.277945,0.0899611
-0.201634,-1.86367
0.401186,0.234965
-0.64579,-0.201214
-0.478702,-0.330134
0.126461,0.112275
2.05176,-0.258073
-0.763976,2.52292
-0.639438,-1.59627
0.413245,0.45334
0.607549,-0.0935099
0.582414,1.2689
-0.524877,-1.59265
0.597586,0.921306
-0.14701,-0.439629
0.568208,-0.478252
-1.02243,-0.265563
-0.61581,0.634185
2.14721,-0.020231
0.173629,0.172141
0.840023,-1.84452
0.433342,-0.395621
-0.0249056,0.44637
-0.474739,0.405625
-1.06334,0.296157
-0.156327,0.130066
-0.740663,0.924359
-0.461117,-1.80607
0.450206,-0.409445
-0.607317,-1.34755
-1.6017,0.753596
0.346561,0.904371
0.983384,-0.679148
-0.135842,0.0814987
-1.14421,-0.167199
-1.19562,-0.000178006
-1.06421,1.22236
-0.236378,-0.170536
-1.40283,-0.238494
-1.427,-0.389343
-1.07027,-1.15747
0.506315,0.97227
1.30563,-1.11505
1.26257,0.615481
0.0764232,0.414229
0.699818,1.22855
1.60625,-0.0978312
-0.00927952,-0.977061
0.314916,1.1296
1.79913,-0.482667
1.22269,0.18863
-0.777423,0.265876
-0.0317763,0.213626
-0.449122,1.49175
0.529826,1.45237
0.173752,0.995841
-1.08159,1.07354
0.0555843,2.72447
-0.675951,0.974142
-0.186702,-0.691742
-0.716941,-1.87778
-0.333596,-1.63379
-0.337493,0.545703
-0.0869131,-1.06857
-1.08631,-0.226004
-1.15129,-0.989369
0.995453,-0.421292
0.838975,0.411549
-0.265805,1.52586
-0.617736,1.20883
-1.01758,-0.851359
-0.323376,1.51584
-0.419582,0.407345
0.990073,-0.0944397
1.14111,-1.00233
0.650999,2.32407
0.804409,-1.67179
0.812439,-0.0821023
-0.693578,1.02268
-0.108637,-0.299411
-0.680558,-2.11213
0.912612,0.191598
-1.35133,-0.108928
-0.00458311,-0.974483
1.24869,-0.221445
-0.349792,1.04983
-0.955604,0.284946
-0.432422,0.315493
1.24791,1.20444
-0.976171,0.449653
-1.96263,-1.924
-0.434816,-0.517313
0.138731,0.532193
-0.673123,1.87493
-0.297224,-1.45676
-0.194645,-0.285758
0.983417,1.26353
-1.1177,0.292691
1.40538,-0.0296362
0.243296,0.92112
-2.11015,-0.338881
-1.29426,-0.982532
-2.52608,0.133078
0.0949347,-0.187926
1.07325,1.56961
-1.61024,0.46007
2.76744,-0.663781
0.150109,-0.589731
-1.57458,0.26465
0.171055,-1.77554
-0.049227,-0.663419
-2.33927,0.876272
-0.634513,1.08784
-0.419218,0.451672
0.0646381,0.484672
0.412062,-0.0900988
0.0926982,1.26611
0.0974043,-1.64682
-0.69695,1.10629
-0.0560364,-1.16421
-0.201048,-3.78487
1.10309,-0.542656
1.233,0.0937606
1.72275,0.696851
0.539221,0.228581
-0.490054,-0.414343
0.0405662,1.32879
-0.199488,-0.0431072
-0.848739,-1.67838
0.190474,-0.158862
1.37931,0.459256
-0.511738,1.76596
0.758735,-0.818191
0.0582497,1.25238
1.33085,0.755972
1.29979,-0.392262
-0.870901,-0.44833
-0.589537,0.0179516
-0.537899,-0.986293
1.04479,-0.626959
1.01127,0.399882
-0.0851905,-0.0116016
0.100064,0.204937
-0.570913,-0.747179
-0.556032,-0.147777
0.890769,-0.579497
0.895558,0.41069
0.534012,0.818166
-0.22937,1.66077
-0.158709,1.25552
0.985955,-0.353924
0.00288253,-0.486037
-0.659896,-1.59224
-0.574854,0.227744
0.0144402,-0.87799
-0.381857,1.03446
1.16481,-0.1119
-0.046256,-0.618577
-0.414612,2.27674
0.228822,0.510797
0.528866,1.6562
-1.35174,2.17354
1.16077,1.0893
-0.380246,1.02916
-0.923548,2.47034
0.464004,-0.916593
-0.774702,-1.05549
0.689258,0.672148
-0.3811,1.12293
-0.274486,0.11483
0.434982,2.66331
1.17672,2.25585
-0.917025,0.826745
0.349183,1.21025
-0.227171,0.445715
-0.629706,1.01012
-1.48359,1.96877
-0.253737,-0.133788
0.960781,-0.955057
-1.24648,0.44454
-1.81815,0.779134
0.64415,3.08423
0.518701,1.79705
0.330483,0.0617
-1.16937,0.0126574
0.665179,0.372116
-0.0133052,0.365364
-0.929262,-1.679
-0.365285,1.89265
-0.295029,1.02923
-2.31965,-1.71314
-0.617928,0.0172926
-0.416034,-0.195911
1.09781,-0.244557
0.427386,0.722621
0.753761,0.64928
-0.547863,-1.92243
-0.0461002,-1.34524
-0.753559,-0.951817
-0.173918,-0.381248
-0.510498,-0.229684
-0.872055,-0.316564
-2.13531,-0.131561
-0.118732,-0.497308
0.793408,-0.46066
1.1653,0.244169
0.310497,-0.756018
-0.229268,1.04179
1.85062,1.32788
-0.985452,1.17425
0.683235,-1.8932
-0.655272,0.693992
-0.303992,-0.416716
-0.399734,0.24131
0.40295,0.499562
0.233703,-2.68671
-0.50014,-1.4296
-0.623815,0.707655
-0.671801,-0.856545
-0.774812,0.60614
-0.612373,1.27776
-0.457055,0.487209
0.738487,-0.550358
-0.284734,-0.0137623
-0.0666696,0.273448
0.0909792,-1.61554
-0.15439,-1.6224
-1.36598,-0.0391963
-0.539097,-1.17485
-0.324502,1.56851
-0.754892,1.34554
-0.654104,-0.345305
-0.329214,-1.43758
-0.318857,0.0296508
0.392279,-1.14449
-1.30216,-0.637014
-0.852133,-0.365475
-0.204353,0.730567
0.80635,-0.457565
0.322502,-1.38676
1.34738,1.98658
-0.754157,0.109518
0.309627,-0.983915
-1.15504,-0.0500343
-2.62745,0.101203
-0.193582,-2.28824
-1.04066,0.393817
-0.708149,-0.729169
-0.619809,0.909642
-0.455607,-0.782056
1.15036,0.222149
1.39994,-0.627303
0.560286,1.32859
-1.38567,-0.978558
-1.0296,0.27423
0.216916,-0.396713
0.630579,0.39982
1.23791,-1.45172
-1.73086,-1.27639
0.0597255,0.5468
0.583203,0.315495
0.806833,0.577454
-1.08796,0.264793
0.814226,1.32351
-0.819086,-0.515154
-1.10582,0.0204173
-0.268247,0.64136
0.221934,-0.13257
-0.0480224,-0.0972694
-1.06728,3.01018
-0.975213,-0.458625
0.837398,0.577672
-0.595826,-0.245692
-0.358437,3.0973
-0.243704,1.70541
-0.88385,-0.269111
-0.0135857,-0.67926
0.948713,-0.407916
-1.12293,1.18727
-1.38368,0.573821
-0.850435,-1.33843
-0.248019,-0.473269
1.03931,-0.446224
1.86417,0.463289
1.41968,0.382447
-0.36299,-0.796626
0.149342,-0.460876
1.30159,0.208924
-0.717812,-1.49166
2.08626,0.224283
-0.918738,-1.35583
-0.0252397,-1.00448
-0.347101,-1.31369
-0.767184,1.07425
0.18002,1.40088
-1.50683,0.174152
-1.21351,1.78135
1.08562,1.57635
0.248292,-0.159989
-1.03376,0.751712
-0.223232,0.573326
-1.63114,-0.981791
0.736329,0.51731
1.0224,-0.639167
0.409958,-1.58535
1.34656,-0.0135968
-0.477926,-0.339019
0.0170088,0.192693
0.646093,0.453964
-0.0730887,0.962168
0.0872515,0.585533
-0.172427,-0.205261
1.36701,0.405138
0.283593,1.80536
0.853772,0.794578
-1.7428,-0.312058
-0.30895,0.951047
0.423888,-0.361995
0.649145,-0.989129
-2.06044,1.18841
-1.02615,-0.946053
1.29683,0.324361
0.523448,-0.39545
0.686922,-1.36437
-1.70993,-0.937855
1.32412,-0.0187014
-1.53674,-0.293094
-0.656979,-0.147363
-0.302652,-1.58538
0.773531,-0.62041
-0.583538,0.472103
-0.342751,-1.06813
-3.10316,0.936286
-0.51913,-1.22793
-1.88756,-0.71831
-0.401067,-2.14207
0.0622989,0.950433
0.141233,-0.614032
-0.57496,0.843008
-0.749413,-1.02368
0.910914,1.20794
-2.28345,0.9407
-0.283476,0.628842
-0.423874,0.462537
-0.0697499,1.13442
0.389636,0.783689
0.232844,0.847036
-1.73504,-1.70748
-0.701052,0.83124
-1.01215,-0.931362
0.496942,-0.0477389
-1.17767,-0.765539
0.890117,-1.48768
-1.30274,-1.0753
-0.74687,-0.468965
-1.23267,0.958774
0.249535,0.801848
0.138134,0.234444
0.818846,0.37389
-0.88914,-0.781565
-0.18546,0.157616
0.0614859,1.44885
0.462606,-1.81107
0.311023,1.87281
-0.493256,-0.778457
-0.603794,-0.949211
1.24367,-0.249233
-1.42147,-1.44271
-0.00620969,-0.86788
0.232453,-1.4412
-1.83624,0.697003
0.478909,-1.4705
-1.40643,1.43923
0.472704,0.63679
0.263954,-1.12724
-0.458984,-0.807878
0.635351,0.194418
-0.524165,0.943644
-1.16155,1.54519
1.33434,-0.940126
0.575001,-1.5833
-0.500303,-0.451445
1.14124,1.01691
-0.211484,-1.37059
0.396543,0.0998422
0.598238,-0.853349
2.59004,-1.28439
-1.72237,1.01954
1.67065,-0.149079
0.506506,-0.866372
-1.14666,-0.810571
1.60244,0.896003
0.419709,0.257012
-0.532139,-0.352898
-0.315453,1.62241
-0.122899,-1.18601
-0.897814,0.115679
0.131363,-0.75188
0.189859,-0.374781
1.56886,0.217361
0.205637,1.40253
0.846698,1.39957
-1.20557,-0.17453
0.245897,-0.742996
0.374015,1.59357
1.45491,-0.37276
0.822337,-0.542146
0.179502,-1.06739
1.29528,-1.51305
1.52267,-2.48694
-0.133998,2.0971
-0.286531,-0.830665
-0.249329,0.241558
0.531307,0.433858
-0.177814,0.311721
-0.776473,0.516212
-0.423359,2.11124
-0.373804,-0.149684
-0.133085,-0.351545
-0.587032,-1.14787
-0.856034,-0.855261
0.253605,-0.0365555
-0.114417,-0.76347
-0.286842,-0.797338
-0.00136291,0.878588
-0.144352,0.653498
-0.361882,0.0384126
-0.608179,0.0356939
-0.754224,-1.2636
2.18834,0.544965
1.01349,0.330551
-0.270915,-1.27088
0.246111,0.169496
0.496492,0.334103
0.579928,0.240602
-0.253978,0.371379
0.724007,0.451581
0.372216,-0.324582
1.78629,1.30969
-0.968593,1.86126
-0.522048,0.444432
1.53594,-0.0788779
-1.65201,-0.401165
1.53552,0.0682307
-1.25342,2.15182
0.275732,0.806895
-1.07911,-0.781554
0.0645524,1.59469
-1.01642,-0.380686
-0.464186,1.26681
0.172506,1.49903
-0.465275,0.59012
-0.518581,-0.298477
0.262422,0.448774
-0.666899,0.509364
-0.710483,1.66425
1.68187,0.920523
0.223907,1.24205
0.440441,1.27347
1.64591,-0.527144
0.0822081,0.718838
1.89009,-1.28319
-1.69264,-1.27344
0.0674862,-0.965307
-0.892842,1.17011
0.973618,1.02808
0.537985,-0.856643
-0.688251,1.00821
0.527513,-0.666691
0.600408,-1.03831
-0.696365,-0.82322
0.358475,0.609566
-0.235605,1.28285
0.107118,0.366314
1.31781,-2.33281
0.102416,-0.180005
1.06104,0.768635
-1.40784,0.801228
0.963972,-0.762087
1.02741,0.598571
-2.28557,-1.33315
1.25662,-0.204888
-0.444043,-0.974577
0.223534,-1.24175
-0.53488,-0.902574
0.982386,2.06225
0.972513,0.45194
-1.06959,0.325194
-1.05334,-1.20508
-0.439594,-0.368883
-0.200533,-1.30331
0.184115,0.622681
-1.02246,-0.9988
0.222166,0.545158
1.25486,-0.328268
-0.588344,-0.323962
-2.23194,0.0177764
1.27692,0.529487
-0.161771,-1.37727
-0.200134,-0.464049
2.36769,-0.311198
