x,y
0.138624,-4.09363
-2.53414,-3.16094
-2.66177,-2.90488
0.138624,-4.09363
-2.66177,-2.90488
-3.25164,-1.59691
0.138624,-4.09363
-3.25164,-1.59691
-3.50976,-0.69253
0.138624,-4.09363
-3.50976,-0.69253
-3.83005,0.893648
0.138624,-4.09363
-3.83005,0.893648
-2.05359,2.91291
0.138624,-4.09363
-2.05359,2.91291
-0.157685,3.78347
0.138624,-4.09363
-0.157685,3.78347
1.70669,3.66367
0.138624,-4.09363
1.70669,3.66367
2.83201,2.61996
0.138624,-4.09363
2.83201,2.61996
3.58641,1.56749
0.138624,-4.09363
3.58641,1.56749
3.90268,-1.1092
0.138624,-4.09363
3.90268,-1.1092
2.09094,-3.25119
0.138624,-4.09363
