x,y
-2.95602,0.128894
3.19736,0.0184486
-1.12361,-3.47561
3.16433,-1.76147
1.56754,-0.86419
-0.0800263,2.72685
-2.04429,2.85889
0.34238,2.40005
0.644278,-0.0473701
-0.963456,0.080739
-3.65314,0.705154
2.7057,-1.55931
0.557282,0.993854
-1.50801,-2.0575
-0.792939,-0.158677
1.46594,3.09428
0.101066,-3.71702
-2.23657,-2.34556
2.09067,2.51532
-1.86923,0.854999
0.897876,0.502748
3.6512,0.124334
2.22142,-1.38334
-0.357445,0.203116
1.33591,0.219174
0.199486,-1.05002
-1.21382,2.57203
-2.7129,-1.48843
1.95574,-3.10579
1.04639,-2.88396
1.82306,2.28646
0.736062,-0.448196
1.14515,-1.19537
0.850039,-1.4161
1.41635,-2.6801
0.435342,-2.43359
1.2876,-0.623875
-0.746435,3.26453
-0.548973,-2.68715
2.53625,-1.21204
-2.27186,2.04702
1.06135,2.50796
1.50471,-0.9184
-0.600702,-2.50855
2.51136,2.76824
1.78475,-1.75526
1.42228,-1.53136
-2.66202,-1.8747
1.60058,-1.29294
0.876533,-3.76746
-0.509245,-1.29041
-3.80323,0.781774
0.390085,2.28003
0.328395,-2.04454
1.59058,3.13699
3.23616,-0.00318445
-0.923485,-1.08575
1.06581,0.573008
1.83484,-1.39201
-0.316433,-1.34906
-1.11368,-0.327338
-2.12256,1.21328
-2.98187,-1.58369
-0.0488373,-0.104532
3.50267,-0.19959
0.681838,0.689236
1.59297,-1.70018
0.667684,-0.0780165
1.24523,3.10488
1.2092,-0.231632
-3.39449,-1.09075
-1.48636,0.744712
1.49669,1.96142
-0.344621,3.05022
0.905544,2.56216
1.99653,2.15336
1.72369,-1.84441
-1.73299,-2.54028
-0.61986,-1.93145
2.07856,0.292193
1.59383,-2.20677
-0.326782,-3.36726
2.66432,0.594243
-0.549149,-0.611515
1.33117,-0.969555
-2.34965,1.68847
-0.192397,-1.93187
-0.532143,-0.632852
1.41924,-3.28003
-3.7286,0.722627
3.40819,-1.04065
-2.39963,0.697477
-1.18689,-3.49497
2.01636,2.82735
-1.62292,1.54399
0.95373,-2.85262
2.8661,-0.286705
-0.943901,0.0756527
1.25323,1.57871
-1.6048,-1.86815
1.99436,-2.80547
0.373821,1.0001
2.77272,-1.96736
1.6983,1.03811
-0.112711,0.12746
-2.07459,-2.76208
0.097567,1.80433
1.87313,2.3728
-1.46745,1.36115
1.16788,-0.297414
0.459515,-1.75613
3.04301,-0.0837419
0.730953,1.08373
0.0412401,-3.38942
-0.194363,2.97851
-1.32581,1.20223
0.0410713,3.29759
0.217892,-0.84842
2.30434,-2.1897
1.18249,0.175614
2.15994,-1.31033
-0.313778,0.607081
3.4143,-0.198788
-3.08541,-0.239588
1.77783,0.8669
0.222463,3.0007
-1.89365,1.22644
0.275652,-3.48052
1.35554,3.50584
1.1868,-0.849715
-1.12399,1.84882
-0.462543,-3.78757
1.6079,-2.5642
-2.10143,-2.74192
-0.178725,0.49386
0.929305,-2.80453
0.515437,3.33041
0.886463,2.58695
-0.215272,1.9266
1.70237,0.114379
-3.29292,0.0670454
0.181391,-2.93515
3.15625,0.655376
0.284722,-3.69273
3.48079,0.244234
-0.68783,-0.955148
2.18205,3.02064
-0.882677,-1.02056
-0.554109,0.849234
3.48546,1.50145
-0.283101,-0.025234
3.00692,1.34696
-0.574462,2.90927
-1.61318,2.99259
-0.0899679,-0.467939
-2.15106,-1.51095
-3.09832,-1.43469
0.0995792,-4.05905
1.49059,-1.916
-0.728222,-1.57154
-0.719537,-2.95047
-1.23931,3.1941
1.53943,-1.79925
1.13036,1.19774
1.66334,2.93798
0.463506,2.32375
-1.68225,-0.965487
2.9336,1.67672
1.43118,1.71182
-0.775477,-1.86213
-0.219215,0.42488
-1.01851,-3.22541
-0.0198819,-2.88055
1.2885,2.3131
1.0626,-2.87818
1.91157,2.12204
1.26186,0.876648
-0.103796,2.48961
0.29725,1.06567
2.78018,0.823707
-1.60788,1.94944
